Unnamed: 0,ObjID,ra,dec,type,u,g,r,i,z,SpecObjID,redshift
55,1237678661970232011,21.5095292044384,4.88923951927886,3,25.14733,24.03379,21.68315,21.38331,20.78679,0,
56,1237678661970232013,21.5106289644914,4.90068211208281,3,24.60025,24.1169,22.00692,21.25182,20.56704,0,
57,1237678661970232018,21.515067718689,4.92200872131633,3,23.06396,23.16496,22.1976,22.08349,21.06813,0,
58,1237678661970232020,21.5158670806875,4.91180720709603,6,23.47593,25.32557,22.49702,23.0943,23.56509,0,
59,1237678661970232083,21.4756098466493,4.91625212340928,3,23.6098,22.9949,22.11805,21.12715,23.9132,0,
60,1237678661970232090,21.483535667746,4.90344579938249,3,25.46787,23.83149,22.5487,21.21094,20.96337,0,
61,1237678661970232104,21.5037147337303,4.94283961662476,6,25.87971,23.66809,22.69274,21.83824,21.29822,0,
62,1237678661970232105,21.5040280794025,4.9487685882042,3,23.2355,22.97738,21.88622,20.81182,20.69015,0,
63,1237678661970232107,21.5035418615888,4.90061111050511,3,24.17876,24.1832,22.52715,21.45037,20.75036,0,
64,1237678661970232108,21.5074142998129,4.94235914983521,3,22.82653,23.11528,22.56343,21.77933,22.88029,0,
65,1237678661970232112,21.5084078260079,4.87573873756838,3,23.50315,23.60122,24.19102,21.46399,22.10129,0,
66,1237678661970232113,21.5124951722949,4.87515666011045,6,26.14539,23.62617,22.82937,21.17559,20.68676,0,
67,1237678661970232115,21.5133456805141,4.898398638122,6,25.4972,24.00355,25.91512,22.03714,22.06238,0,
68,1237678661970232118,21.5166232209774,4.90154065407096,3,22.53917,23.98563,22.84698,21.74767,20.62178,0,
69,1237678661970232139,21.5184870331219,4.93084671062739,3,22.42127,24.95704,25.42845,24.82579,20.05283,0,
70,1237678661970232152,21.4868616108453,4.92006474914577,3,24.06981,23.26321,21.86926,21.96353,20.49142,0,
71,1237678661970232153,21.4995283425917,4.88133185472007,3,24.07581,23.51818,22.32403,22.03964,21.17782,0,
72,1237678661970232154,21.5148687223999,4.88199899316885,3,25.85283,24.16087,22.2511,22.07357,23.87577,0,
73,1237678661970232162,21.5154483276096,4.88598522423261,3,24.3491,23.6975,22.65904,21.66048,22.01663,0,
74,1237678661970232163,21.5207833276778,4.9194185310197,3,24.92596,23.992,23.46757,21.62733,20.40925,0,
75,1237678661970296856,21.5298199326777,4.9345708810347,6,20.33105,17.67824,16.25909,15.54749,15.13609,0,
76,1237678661970296860,21.5369218254912,4.93131872911161,6,20.09374,18.02099,17.00263,16.62626,16.40819,0,
77,1237678661970296871,21.5508596206736,4.92595794799442,6,21.42319,19.43926,18.7338,18.48149,18.29949,0,
78,1237678661970296872,21.5525207650579,4.9263816484461,6,24.30552,24.12635,22.93365,21.9099,21.29194,0,
79,1237678661970296878,21.5601156352428,4.88380820775615,6,20.38921,17.94377,16.58839,15.41403,14.79633,0,
80,1237678661970296884,21.5655139669266,4.92388280079157,6,19.71094,18.79824,18.39682,18.22997,18.14009,0,
81,1237678661970296958,21.5314344591749,4.86481932294538,6,23.6664,21.1508,19.58636,18.08048,17.22445,0,
82,1237678661970296978,21.556346050596,4.8710731645092,6,23.04553,21.16064,19.7767,18.95898,18.42985,0,
83,1237678661970296984,21.535692845102,4.9513980998173,6,21.54939,21.14323,20.99344,20.81181,20.52409,9865339347108384768,2.507816
84,1237678661970296991,21.5543150414356,4.88533711826518,6,21.86398,25.04448,25.35554,25.36943,22.30846,0,
85,1237678661970296992,21.5564569811554,4.88206033639577,6,21.84646,25.13399,25.61386,23.9281,23.40475,0,
86,1237678661970297021,21.5276758193589,4.93221636203898,6,23.59289,22.09261,20.88119,19.62464,18.80704,0,
87,1237678661970297024,21.5264574370229,4.89539842522792,3,25.39332,23.64583,22.0153,20.59984,19.61343,0,
88,1237678661970297025,21.5273395521631,4.89605026717196,6,24.52908,22.63881,22.04345,22.00432,22.80713,0,
89,1237678661970297026,21.5287635648165,4.95388312222886,6,22.90822,22.35067,21.07545,20.0086,19.38265,0,
90,1237678661970297028,21.5277670160351,4.8880952105864,3,25.43159,22.66552,21.66223,21.63017,21.24427,0,
91,1237678661970297029,21.5282311260051,4.89094172741919,3,22.55992,21.96507,20.94287,20.50174,20.06393,0,
92,1237678661970297033,21.5296697060276,4.90643964066359,3,24.43967,23.39674,23.09344,21.25944,20.40046,0,
93,1237678661970297034,21.5294743213296,4.903055645632,3,23.86006,22.01728,21.58053,21.7194,21.33688,0,
94,1237678661970297036,21.5298375878385,4.90054979902221,3,24.28087,22.04681,20.86998,20.56495,20.12903,0,
95,1237678661970297039,21.5315865855187,4.88524949579515,3,25.09197,22.56919,21.22531,20.27498,19.65004,0,
96,1237678661970297040,21.5331514439621,4.88560528953346,6,24.51949,24.56518,23.80897,21.85013,21.3189,0,
97,1237678661970297042,21.5317288451015,4.90365382659847,3,22.68238,22.12845,21.62341,21.45991,20.94534,0,
98,1237678661970297043,21.5330654209568,4.90424126299421,3,23.52183,21.92706,21.41892,21.41405,21.42551,0,
99,1237678661970297051,21.5366728105099,4.89071344159737,6,26.14223,23.12421,24.58565,23.76269,23.80023,0,
100,1237678661970297052,21.5372445432513,4.88305618226119,3,22.12761,21.45188,21.09171,21.38721,20.18728,0,
101,1237678661970297053,21.5390302771928,4.92619076285514,6,23.95109,22.73286,22.85519,22.70919,22.30663,0,
